인덱스,상품명,할인율,할인가,원가
211,국내산 쑥개떡 400g(40g x 10개 | 냉동),4%,"6,000","6,300"
212,포슬한 쿠스쿠스 쉬림프 샐러드 (185g/180kcal),8%,"5,400","5,900"
213,은은한 소이소스 닭가슴살 샐러드 (185g/155kcal),20%,"4,720","5,900"
214,무항생제 한우 도가니탕 (600g),16%,"16,700","20,000"
215,촉촉한 생 도제식빵600g,5%,"5,980","6,300"
216,탕종 통밀식빵(470g),0%,"7,500","7,500"
217,당근 단백질빵(1입/105g),10%,"4,050","4,500"
218,버섯 영양밥(200g),18%,"1,950","2,400"
219,국내산 매콤주꾸미 (300g),25%,"9,580","12,800"
220,[금강수림]인삼장어탕(1kg),32%,"9,500","14,000"
221,두툼한 대광어회(150g),28%,"11,000","15,400"
222,고려삼계탕 900g,16%,"10,900","13,000"
223,매뉴팩트커피 콜드브루 카멜리아 500ml,14%,"15,000","17,500"
224,무항생제 갈비탕 (900g),10%,"22,500","25,000"
225,무항생제 한우 우족탕 (900g),15%,"15,300","18,000"
226,우리돼지국밥 (1kg),34%,"6,180","9,500"
227,삼원가든 소고기 우거지탕 (600g),35%,"6,400","9,900"
228,매뉴팩트커피 드립백 샌 프란시스코 12g x 5팩,20%,"10,000","12,500"
229,오샬커리 인도 난 2종,36%,"1,400","2,200"
230,국내산 단호박경단 (30g x 8개 | 냉동),35%,"3,220","5,000"
231,[유기농] 밀키요 시그니처 그릭요거트(450g),4%,"13,900","14,500"
232,[유기농] 밀키요 플레인 그릭요거트(130g),20%,"4,800","6,000"
233,밀키요 포도 그릭요거트(130g),8%,"5,500","6,000"
234,대구 쑥 꿀떡240g(16g x 15알),20%,"4,000","5,000"
235,대구 꿀떡240g(16g x 15알),20%,"3,200","4,000"
236,고기손만두 (530g/1봉),18%,"5,300","6,500"
237,김치손만두 (530g),18%,"5,300","6,500"
238,삼원가든 서울식불고기 (300g),21%,"10,800","13,800"
239,매뉴팩트커피 드립백 카멜리아 12g x 5팩,20%,"10,000","12,500"
240,전복삼계죽 (225g),20%,"5,520","6,900"
241,황태바지락죽 (225g),20%,"5,520","6,900"
242,좋은발효 생생낫또(50gx4),30%,"3,850","5,500"
243,새우 멘보샤 프라이(300g),22%,"8,500","10,900"
244,우리밀 두부스낵(80g),20%,"2,080","2,600"
245,"[흑돈가]제주 흑돈 두루치기 (냉동,300g)",14%,"8,500","9,900"
246,"[흑돈가]제주 흑돼지 짜글이(2인분,냉장415g)",28%,"9,900","13,900"
247,"[흑돈가]양념 제주 우대갈비(냉동, 500g)",7%,"11,000","11,900"
248,"[백년가게]지동관 깐쇼새우(2인분, 488g)",12%,"13,000","14,900"
249,"[신안촌] 매생이 굴국 (냉동,2인분)",20%,"10,300","12,900"
250,[도스타코스]치킨&치뽈레살사 께사디야(290g),14%,"8,400","9,800"
251,[도스타코스]비프&치뽈레 살사 부리또(170g),19%,"3,700","4,600"
252,[도스타코스]포크&살사 부리또(170g),19%,"3,700","4,600"
253,갤러리아 속초 코다리 냉면( 2인분/880g),28%,"9,900","13,900"
254,"[고래사]어묵면우삼겹짬뽕(2인분,770g)",15%,"13,500","15,900"
255,"속초 중앙닭강정(순살 보통맛, 600g)",0%,"12,900","12,900"
256,"속초 중앙닭강정(순살 달콤한맛, 600g)",0%,"12,900","12,900"
257,"속초 중앙닭강정(순살 매콤한맛, 600g)",0%,"12,900","12,900"
258,[신규입점] 까챠토레 블랙트러플(150g),0%,"15,900","15,900"
259,이상복 명과 경주빵(20개입/10개입)[쇼핑백포함],5%,"9,500","10,000"
260,이상복 명과 계피빵(38g x 4개입),5%,"4,750","5,000"
